epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.81338,1.99017,9.66512,0.01273,0.00319,0.88352,0.34945,0.12268,1.52677,9.5784,0.00948,0.00048,0.00048,0.00048
2,10.7756,1.52554,7.24104,0.0096,0.00307,0.85055,0.37381,0.17006,1.18472,9.10382,0.00842,0.00091532,0.00091532,0.00091532
3,13.683,1.62098,6.35515,0.01035,0.71471,0.12113,0.41469,0.16222,1.27899,8.5886,0.00959,0.00128464,0.00128464,0.00128464
